time;t_mean;t_min;t_max;GlobR;hpa;rainfall;lon;lat;PH2O_kpa;radiation;PAR;esa;vpd;rh;Precsum_a;lamposumma_v;wind_speed;aika;vuosi;kk;paiva;longitude;latitude
1980-01-01;-5.7;-7.3;-4.1;84.0;3.75;1.0;3445000;7215000;0.375;84.0;0.4861111111111111;0.40016591237895244;0.025165912378952437;93.71113040854898;1.0;0.0;2.0;19800101;1980;1;1;3445462.033463862;7214079.106267728
1980-01-02;-9.0;-12.1;-6.3;89.0;2.68;0.0;3445000;7215000;0.268;89.0;0.5150462962962963;0.31021261789264365;0.042212617892643634;86.39235947931289;1.0;0.0;2.0;19800102;1980;1;2;3445462.033463862;7214079.106267728
1980-01-03;-8.8;-11.5;-7.7;100.0;2.76;0.0;3445000;7215000;0.27599999999999997;100.0;0.5787037037037037;0.31510103938760375;0.039101039387603787;87.59095194874752;1.0;0.0;2.0;19800103;1980;1;3;3445462.033463862;7214079.106267728
1980-01-04;-9.2;-11.8;-6.8;111.0;2.54;0.3;3445000;7215000;0.254;111.00000000000001;0.6423611111111112;0.30539188256725314;0.05139188256725313;83.17182430153962;1.3;0.0;2.0;19800104;1980;1;4;3445462.033463862;7214079.106267728
1980-01-05;-7.9;-11.1;-6.0;79.0;2.99;0.0;3445000;7215000;0.29900000000000004;79.0;0.45717592592592593;0.33795888222201714;0.0389588822220171;88.47230113738404;1.3;0.0;2.0;19800105;1980;1;5;3445462.033463862;7214079.106267728
1980-01-06;-7.7;-10.3;-6.0;130.0;2.98;0.0;3445000;7215000;0.298;130.0;0.7523148148148148;0.3432345592759776;0.04523455927597764;86.82109418952571;1.3;0.0;2.0;19800106;1980;1;6;3445462.033463862;7214079.106267728
1980-01-07;-9.3;-14.2;-7.3;133.0;2.77;0.0;3445000;7215000;0.277;133.0;0.7696759259259259;0.3030066415620249;0.026006641562024868;91.41713811025447;1.3;0.0;2.0;19800107;1980;1;7;3445462.033463862;7214079.106267728
1980-01-08;-9.1;-11.2;-6.8;153.0;3.0;0.0;3445000;7215000;0.30000000000000004;153.0;0.8854166666666666;0.30779384072008115;0.007793840720081102;97.46783733493578;1.3;0.0;2.0;19800108;1980;1;8;3445462.033463862;7214079.106267728
1980-01-09;-13.3;-17.3;-10.4;191.0;2.01;0.0;3445000;7215000;0.20099999999999998;191.00000000000003;1.1053240740740742;0.22019753278126802;0.01919753278126804;91.28167671145626;1.3;0.0;2.0;19800109;1980;1;9;3445462.033463862;7214079.106267728
1980-01-10;-12.1;-15.4;-6.9;145.0;2.1;0.0;3445000;7215000;0.21000000000000002;145.0;0.8391203703703703;0.24260940417876975;0.03260940417876973;86.5588869940338;1.3;0.0;2.0;19800110;1980;1;10;3445462.033463862;7214079.106267728
