date,site,plot,manual_min,manual_max,manual_median,manual_pred_min,manual_pred_max,manual_pred_mean,logger_raw,logger_corrected,logger_pred_min,logger_pred_max,logger_pred_mean
2014-09-10,Lintupirtti,1,0.13,0.55,0.28,0.28921906693711974,0.3397990176342703,0.314509042285695,,,,,
2014-09-10,Lintupirtti,2,0.33,0.77,0.56,0.4282686967571893,0.5686302439809972,0.4812144542149601,,,,,
2014-09-10,Lintupirtti,3,0.26,0.57,0.36,0.3061646350072951,0.3853675819309125,0.3365553637258528,,,,,
2014-09-10,Lintupirtti,4,0.18,0.4,0.36,0.3063458370593494,0.3985594653353735,0.3420373996488157,,,,,
2014-09-10,Lintupirtti,5,0.55,0.67,,0.5974545454545459,0.6836256099364182,0.6468053162496326,,,,,
2014-09-10,Lintupirtti,6,0.43,0.62,0.505,0.40711418911549785,0.5149362973044498,0.4483846448986032,,,,,
2014-09-10,Lintupirtti,7,0.71,0.71,,0.6114545454545454,0.7166375868697321,0.667189382361475,,,,,
2014-09-10,Lintupirtti,8,0.5,0.7,0.595,0.5553490020721996,0.6707160409814372,0.600101464655472,,,,,
2014-09-10,Lintupirtti,9,0.46,0.91,0.72,0.581255706688003,0.6045131845841785,0.5928844456360908,,,,,
2014-09-10,Lintupirtti,10,0.15,0.41,0.32,0.297212345948304,0.3672318626895013,0.3240304224871115,,,,,
2014-09-10,Lintupirtti,11,0.35,0.83,0.51,0.40259134038608346,0.5122728819326301,0.444603151861478,,,,,
2014-09-10,Lintupirtti,12,0.43,0.7,0.65,0.5502584796597231,0.6905389210237797,0.6039879097613029,,,,,
2014-09-10,Lintupirtti,13,0.04,0.46,0.39,0.38080215945032153,0.42310328532002545,0.4019527223851735,,,,,
2014-09-10,Lintupirtti,14,0.15,0.59,0.27,0.2628797574941058,0.3056680161943321,0.2812384438735673,,,,,
2014-09-10,Lintupirtti,15,0.26,0.5,0.475,0.373977805649471,0.49807804997920696,0.42230758138260405,,,,,
2014-09-10,Lintupirtti,16,0.18,0.4,0.215,0.21197204445941403,0.26098178137651845,0.2319052859738313,,,,,
