date;y;x;temp_avg;temp_max;temp_min;prec;global_rad;vapour_press;site;wind_speed_avg;snow_depth;pot_evap
2006-01-01;7345000;3435000;-2.3;-0.1;-4.9;3.5;76;5.01;lintupirtti;2.0;NaN;NaN
2006-01-02;7345000;3435000;-2.0;-0.7;-2.6;0.0;140;5.04;lintupirtti;2.0;NaN;NaN
2006-01-03;7345000;3435000;-4.1;-1.8;-6.2;0.0;97;4.23;lintupirtti;2.0;NaN;NaN
2006-01-04;7345000;3435000;-4.3;-1.8;-6.8;1.5;130;4.16;lintupirtti;2.0;NaN;NaN
2006-01-05;7345000;3435000;-1.5;-0.4;-2.5;0.0;292;5.3;lintupirtti;2.0;NaN;NaN
2006-01-06;7345000;3435000;-4.3;-0.7;-5.9;0.3;259;4.31;lintupirtti;2.0;NaN;NaN
2006-01-07;7345000;3435000;-5.1;-2.5;-7.0;0.0;205;3.91;lintupirtti;2.0;NaN;NaN
2006-01-08;7345000;3435000;-8.6;-5.7;-11.9;0.1;162;3.06;lintupirtti;2.0;NaN;NaN
2006-01-09;7345000;3435000;-8.6;-3.7;-13.1;0.8;281;3.22;lintupirtti;2.0;NaN;NaN
2006-01-10;7345000;3435000;-2.5;-1.4;-4.3;0.3;356;4.73;lintupirtti;2.0;NaN;NaN
2006-01-11;7345000;3435000;-0.9;0.7;-3.2;1.7;227;5.54;lintupirtti;2.0;NaN;NaN
2006-01-12;7345000;3435000;1.1;2.8;-0.1;0.9;400;5.84;lintupirtti;2.0;NaN;NaN
2006-01-13;7345000;3435000;-4.2;0.4;-8.0;0.0;626;4.21;lintupirtti;2.0;NaN;NaN
2006-01-14;7345000;3435000;-2.6;-0.2;-9.0;0.6;281;4.83;lintupirtti;2.0;NaN;NaN
2006-01-15;7345000;3435000;-7.7;-1.2;-13.1;0.1;832;3.45;lintupirtti;2.0;NaN;NaN
2006-01-16;7345000;3435000;-9.3;-5.4;-14.6;0.1;540;3.03;lintupirtti;2.0;NaN;NaN
2006-01-17;7345000;3435000;-14.8;-6.5;-18.1;0.4;572;1.37;lintupirtti;2.0;NaN;NaN
2006-01-18;7345000;3435000;-19.3;-18.0;-25.4;0.5;1199;0.55;lintupirtti;2.0;NaN;NaN
2006-01-19;7345000;3435000;-27.6;-24.3;-30.3;0.0;1048;0.47;lintupirtti;2.0;NaN;NaN
2006-01-20;7345000;3435000;-28.0;-25.9;-30.8;0.1;778;0.43;lintupirtti;2.0;NaN;NaN
2006-01-21;7345000;3435000;-26.1;-24.1;-28.9;0.0;983;0.51;lintupirtti;2.0;NaN;NaN
2006-01-22;7345000;3435000;-21.0;-17.4;-26.7;5.0;842;0.85;lintupirtti;2.0;NaN;NaN
2006-01-23;7345000;3435000;-5.9;-2.1;-16.4;0.4;378;3.76;lintupirtti;2.0;NaN;NaN
2006-01-24;7345000;3435000;-1.8;-0.2;-5.9;13.5;313;5.21;lintupirtti;2.0;NaN;NaN
2006-01-25;7345000;3435000;-5.2;-0.2;-8.3;1.4;907;3.95;lintupirtti;2.0;NaN;NaN
2006-01-26;7345000;3435000;-3.7;0.7;-12.2;2.7;583;4.69;lintupirtti;2.0;NaN;NaN
2006-01-27;7345000;3435000;-1.6;2.2;-3.6;0.0;1393;4.56;lintupirtti;2.0;NaN;NaN
2006-01-28;7345000;3435000;-8.4;-3.0;-14.2;0.0;810;3.11;lintupirtti;2.0;NaN;NaN
